"word","rank"
"curso",1
"ser",2
"pessoas",3
"vida",4
"gestao",5
"brasil",6
"todos",7
"informacoes",8
"local",9
"desenvolvimento",10
"vai",11
"atraves",12
"fazer",13
"profissionais",14
"grupo",15
"cada",16
"trabalho",17
"empresas",18
"inscricao",19
"mercado",20
"forma",21
"experiencia",22
"workshop",23
"melhor",24
"mundo",25
"dias",26
"valor",27
"negocios",28
"alem",29
"profissional",30
"horas",31
"empresa",32
"palestra",33
"onde",34
"pratica",35
"bem",36
"area",37
"casa",38
"horario",39
"publico",40
"data",41
"paulo",42
"objetivo",43
"online",44
"saude",45
"marketing",46
"conteudo",47
"projeto",48
"ter",49
"pode",50
"encontro",51
"pra",52
"cursos",53
"projetos",54
"comunicacao",55
"digital",56
"eventos",57
"entrada",58
"espaco",59
"caso",60
"educacao",61
"direito",62
"treinamento",63
"participantes",64
"todo",65
"tecnicas",66
"apos",67
"programacao",68
"mail",69
"tempo",70
"inovacao",71
"conhecimento",72
"todas",73
"formacao",74
"apresentacao",75
"pos",76
"festa",77
"programa",78
"bar",79
"edicao",80
"aula",81
"outros",82
"resultados",83
"qualquer",84
"centro",85
"desde",86
"pessoal",87
"aprender",88
"tudo",89
"grande",90
"vendas",91
"vamos",92
"partir",93
"ainda",94
"rua",95
"rio",96
"musica",97
"coaching",98
"vagas",99
"feira",100
"parte",101
"durante",102
"ferramentas",103
"whatsapp",104
"processo",105
"palestrante",106
"noite",107
"sp",108
"social",109
"antes",110
"coach",111
"participar",112
"meio",113
"especialista",114
"tecnologia",115
"negocio",116
"apenas",117
"maior",118
"sucesso",119
"equipe",120
"instituto",121
"nova",122
"alunos",123
"certificado",124
"aqui",125
"vem",126
"praticas",127
"universidade",128
"ano",129
"dj",130
"venha",131
"qualidade",132
"atividades",133
"participacao",134
"show",135
"mulheres",136
"escola",137
"inicio",138
"sociais",139
"professor",140
"producao",141
"clientes",142
"oficina",143
"sabado",144
"areas",145
"novo",146
"tema",147
"contato",148
"outras",149
"momento",150
"open",151
"lote",152
"especial",153
"sempre",154
"hora",155
"conhecer",156
"acesso",157
"cidade",158
"cultura",159
"modulo",160
"quer",161
"organizacao",162
"duvidas",163
"toda",164
"dados",165
"gente",166
"neste",167
"principais",168
"inscricoes",169
"vez",170
"assim",171
"servicos",172
"carreira",173
"design",174
"consultoria",175
"criar",176
"lista",177
"instagram",178
"ambiente",179
"pagamento",180
"palestras",181
"primeiro",182
"pessoa",183
"la",184
"arte",185
"oportunidade",186
"compra",187
"cafe",188
"conta",189
"produtos",190
"participante",191
"pais",192
"nome",193
"estar",194
"seguranca",195
"site",196
"realizacao",197
"foco",198
"podem",199
"dentro",200
"uso",201
"criancas",202
"novas",203
"graduacao",204
"melhores",205
"planejamento",206
"experiencias",207
"aulas",208
"desenvolver",209
"apoio",210
"rede",211
"processos",212
"sala",213
"historia",214
"sistema",215
"poder",216
"tecnica",217
"abertura",218
"entao",219
"sendo",220
"atencao",221
"semana",222
"grandes",223
"maiores",224
"emocional",225
"atendimento",226
"final",227
"facebook",228
"somente",229
"empreendedorismo",230
"janeiro",231
"ajudar",232
"primeira",233
"internacional",234
"lideranca",235
"possui",236
"nacional",237
"ensino",238
"valores",239
"agora",240
"importante",241
"sexta",242
"novos",243
"limitadas",244
"realizar",245
"temas",246
"material",247
"hoje",248
"corpo",249
"brasileira",250
"diversos",251
"faz",252
"inteligencia",253
"analise",254
"redes",255
"link",256
"diversas",257
"rock",258
"servico",259
"objetivos",260
"amor",261
"treinamentos",262
"cliente",263
"estado",264
"solucoes",265
"criacao",266
"humano",267
"nesse",268
"presenca",269
"aluno",270
"turma",271
"geral",272
"metodologia",273
"administracao",274
"recursos",275
"dois",276
"psicologia",277
"diferentes",278
"credito",279
"busca",280
"levar",281
"ira",282
"saber",283
"desafios",284
"energia",285
"estrategias",286
"quais",287
"amigos",288
"venda",289
"empreendedores",290
"dinheiro",291
"coffee",292
"apresentar",293
"cultural",294
"estudantes",295
"lugar",296
"mestre",297
"atua",298
"empresarial",299
"via",300
"investimento",301
"futuro",302
"teatro",303
"banda",304
"sociedade",305
"convidados",306
"conceitos",307
"pesquisa",308
"necessario",309
"muita",310
"proposito",311
"associacao",312
"alvo",313
"networking",314
"minas",315
"performance",316
"pre",317
"atividade",318
"possivel",319
"precisa",320
"desconto",321
"ideias",322
"construcao",323
"engenharia",324
"podera",325
"passo",326
"deve",327
"importancia",328
"familia",329
"plataforma",330
"dr",331
"atualmente",332
"acoes",333
"acao",334
"mulher",335
"manha",336
"quanto",337
"metodo",338
"cancelamento",339
"atuacao",340
"regiao",341
"faculdade",342
"carga",343
"estudos",344
"pontos",345
"transformacao",346
"almoco",347
"comunidade",348
"segunda",349
"vivo",350
"domingo",351
"master",352
"cartao",353
"pois",354
"falar",355
"alta",356
"responsavel",357
"nivel",358
"diretor",359
"encontros",360
"entender",361
"livro",362
"habilidades",363
"visao",364
"oficial",365
"sul",366
"dar",367
"livre",368
"marco",369
"autoconhecimento",370
"startups",371
"break",372
"minutos",373
"professora",374
"federal",375
"conhecimentos",376
"porque",377
"encerramento",378
"maneira",379
"duas",380
